,city,latitude,longitude,max_temperature,cloudiness,wind_speed,humidity,country,date
330,Moses Lake,47.1301,-119.2781,53.6,1,2.71,58,US,1619326543
331,Konitsa,40.0486,20.7567,44.6,53,2.3,93,GR,1619326544
332,Toamasina,-18.1667,49.3833,73.4,40,5.75,94,MG,1619326544
333,Biak,-0.9131,122.8766,83.79,69,5.73,65,ID,1619326544
334,Polunochnoye,60.8697,60.4153,44.62,100,10.85,59,RU,1619326545
335,Chapais,49.7834,-74.8492,28.4,75,3.44,80,CA,1619326545
336,Paka,4.6374,103.4368,89.6,40,6.91,70,MY,1619326545
337,Mikumi,-7.4041,36.9831,69.78,100,3.83,98,TZ,1619326546
338,Taree,-31.9,152.4667,69.8,16,9.22,52,AU,1619326546
339,Sopot,54.4418,18.56,39.99,0,3.44,86,PL,1619326547
340,San Jose,37.3394,-121.895,57.99,90,6.91,54,US,1619326540
341,Charyshskoye,51.3978,83.5598,44.67,24,0.31,44,RU,1619326547
342,Vilhena,-12.7406,-60.1458,69.28,71,2.35,97,BR,1619326548
343,Barra de Tecoanapa,16.5167,-98.75,79.52,81,4.05,78,MX,1619326548
344,Edson,53.5835,-116.4356,35.6,1,6.91,38,CA,1619326549
345,Baruun-Urt,46.6806,113.2792,65.98,100,16.31,28,MN,1619326529
346,Grindavik,63.8424,-22.4338,42.8,90,16.11,100,IS,1619326549
347,Goma,-1.6792,29.2228,64.67,100,2.06,88,CD,1619326550
348,Cap Malheureux,-19.9842,57.6142,80.01,100,10.0,80,MU,1619326550
349,Zomin,39.9606,68.3958,73.6,7,4.07,28,UZ,1619326550
350,Talaya,61.3833,152.75,16.52,100,9.53,70,RU,1619326551
351,Ruwi,23.5996,58.5507,91.4,0,3.44,46,OM,1619326551
352,Sora,41.7157,13.6141,46.0,42,4.47,81,IT,1619326552
353,Vredendal,-31.6683,18.5012,66.34,96,2.66,54,ZA,1619326552
354,Tiksi,71.6872,128.8694,32.88,99,10.31,91,RU,1619326552
355,Dzaoudzi,-12.7887,45.2699,84.2,75,13.8,79,YT,1619326553
356,Viedma,-40.8135,-62.9967,53.06,37,3.87,80,AR,1619326553
357,Porosozero,62.7191,32.727,35.13,100,8.7,96,RU,1619326554
